id,name,type,max_units_per_hour,price_per_unit,unit_of_measure,calendar
LAB-SUP,Supervisor,LABOUR,6,62,h,CAL-01
LAB-QA,QA/QC Inspector,LABOUR,4,55,h,CAL-01
LAB-CIVIL,Civil Operative,LABOUR,30,38,h,CAL-02
LAB-STEEL,Steel Erector,LABOUR,18,46,h,CAL-02
LAB-PIPE,Pipefitter,LABOUR,24,48,h,CAL-02
LAB-WELD,Coded Welder,LABOUR,12,58,h,CAL-02
LAB-EI,E&I Technician,LABOUR,16,52,h,CAL-02
LAB-EI-SPEC,HV Specialist,LABOUR,3,95,h,RCAL-SPECIALIST
LAB-INS,Insulator,LABOUR,10,41,h,CAL-02
LAB-PAINT,Painter / Blaster,LABOUR,8,39,h,CAL-02
LAB-SCAF,Scaffolder,LABOUR,12,44,h,CAL-02
LAB-COMM,Commissioning Technician,LABOUR,8,68,h,CAL-03
NL-CRANE600,600t Crawler Crane,NONLABOUR,1,340,h,RCAL-CRANE600
NL-CRANE200,200t Crawler Crane,NONLABOUR,2,180,h,CAL-02
NL-MEWP,MEWP / Cherry Picker,NONLABOUR,6,22,h,CAL-02
NL-WELDSET,Welding Set,NONLABOUR,12,9,h,CAL-02
NL-HYDROPUMP,Hydrotest Pump Unit,NONLABOUR,1,75,h,CAL-02
NL-EXCAV,30t Excavator,NONLABOUR,4,65,h,CAL-02
MAT-CONC,Ready-mix Concrete,MATERIAL,,145,m3,CAL-03
MAT-STEEL,Structural Steel,MATERIAL,,2150,te,CAL-03
MAT-SPOOL,Pipe Spools,MATERIAL,,780,ea,CAL-03
MAT-CABLE,Cable,MATERIAL,,14,m,CAL-03
