id,predecessor,successor,type,lag_h,lag_calendar,test_tags,note
R0001,A1000,A1010,SS,0,,loe_span_start,
R0002,A1010,A13000,FF,0,,loe_span_end,
R0003,A4100,A1020,SS,0,,loe_span_start,
R0004,A1020,A12000,FF,0,,loe_span_end,
R0005,A3000,A1030,SS,0,,loe_span_start,
R0006,A1030,A12500,FF,0,,loe_span_end,
R0007,A1000,A1040,SS,0,,loe_span_start,
R0008,A1040,A13000,FF,0,,loe_span_end,
R0009,A7100,A3100,SS,0,,loe_span_start,
R0010,A3100,A9200,FF,0,,loe_span_end,
R0011,A1000,A2000,FS,0,,con_start_on,Logic says A2000 could start on 05-Jan; the START_ON constraint pins it to 19-Jan. Tests that START_ON overrides a permissive predecessor in the forward pass AND is not pulled earlier by the backward pass.
R0012,A2100,A2110,FS,80,,rel_fs;lag_positive,
R0013,A2110,A2120,FS,160,,rel_fs;lag_positive;net_external_vs_internal,A2120 has BOTH internal logic (this edge) and an external_early_start of 2026-04-13. The later of the two must drive. Toggle 'ignore relationships to/from other projects' and confirm which one wins.
R0014,A2110,A2300,FS,40,,rel_fs;lag_positive,
R0015,A2110,A2310,FS,320,,rel_fs;lag_positive,
R0016,A2120,A2320,FS,240,,rel_fs;lag_positive,
R0017,A2320,A2330,FS,160,,rel_fs;lag_positive,
R0018,A1000,A3000,FS,0,,rel_fs;lag_zero,
R0019,A3000,A3010,FS,0,,,
R0020,A2000,A3010,FS,0,,net_multiple_predecessors,
R0021,A3000,A3020,FS,0,,,
R0022,A3010,A3030,FS,0,,,
R0023,A3020,A3040,FS,0,,,
R0024,A3030,A5500,FS,0,,cal_night_crosses_midnight,Night shift bolt-up needs temporary lighting. Gives the completed A3030 a successor.
R0025,A3040,A6100,FS,0,,prog_stopped_zero_remaining,"A3040 is STOPPED (RD=0, no actual finish). Its remaining early finish = the DATA DATE, and that must propagate into A6100. If your engine leaves A3040's finish null, this successor breaks."
R0026,A8700,A3800,SF,0,,rel_sf;lag_sf_zero,"START-TO-FINISH, zero lag. Temp power must not FINISH until permanent power STARTS. Forward pass: EF(succ) >= ES(pred) + 0. Then ES(succ) = EF(succ) - RD(succ)."
R0027,A3800,A3900,FS,0,,,
R0028,A3010,A4100,FS,0,,,
R0029,A2100,A4100,FS,0,,net_multiple_predecessors,
R0030,A4100,A4110,SS,60,,rel_ss;lag_positive,
R0031,A4110,A4200,FS,0,,,
R0032,A4200,A4210,SS,40,,rel_ss;lag_positive,
R0033,A4200,A4220,FS,0,,rel_fs;prog_out_of_sequence,The out-of-sequence edge. A4220 has an actual start while A4200 is only 40%% complete.
R0034,A4200,A4230,SS,48,,rel_ss;lag_positive,
R0035,A4230,A4300,FS,0,,,
R0036,A4220,A4300,FS,0,,retained_logic_vs_progress_override,"THE DISCRIMINATOR EDGE. A4220 is out of sequence. Under RETAINED LOGIC its remaining work waits for A4200 (remaining finish ~16-Mar), so A4300 starts ~19-Mar. Under PROGRESS OVERRIDE A4220's remaining work runs from the data date, so A4300 falls back to its SNET of 16-Mar. If A4300 lands on the same date in both scenarios, the option is not implemented."
R0037,A4300,A4310,FS,0,,,
R0038,A4310,A4320,FS,0,,,
R0039,A4320,A4330,FS,0,,,
R0040,A4330,A4340,FS,0,,,
R0041,A4340,A4350,FS,0,,,
R0042,A4350,A4360,FS,-20,,rel_fs;lag_negative;lag_fs_negative;pathological,"NEGATIVE FS LAG (a 'lead'). Backfill may start 20h (2 days on CAL-02) before formwork stripping finishes. Sign convention: ES(succ) >= EF(pred) + lag, with lag = -20h."
R0043,A4210,A4400,FS,0,,,
R0044,A4300,A4400,FF,20,,rel_ff;lag_positive;lag_ff_positive,
R0045,A4400,A4410,FS,0,,,
R0046,A4410,A4420,FS,0,,,
R0047,A4420,A4430,FS,0,,,
R0048,A4430,A4440,FS,168,24H,rel_fs;lag_positive;lag_calendar_24h;lag_calendar_setting_sensitive,EXPLICIT 24-HOUR LAG CALENDAR. 168h = exactly 7 elapsed days regardless of the CAL-02 working pattern. This edge OVERRIDES the project-level lag calendar setting. If your model has no per-relationship lag calendar you cannot represent concrete cure correctly.
R0049,A4440,A4450,FS,0,,,
R0050,A4110,A4500,FS,0,,,
R0051,A4300,A4500,SS,40,,rel_ss;lag_positive;net_multiple_predecessors,
R0052,A4500,A4510,SS,0,,rel_ss;lag_zero;lag_ss_zero,
R0053,A4510,A4520,FF,0,,rel_ff;lag_zero;lag_ff_zero;net_dangling_start,"The ONLY link into A4520 is an FF, so nothing drives its start."
R0054,A4450,A4600,FS,0,,,
R0055,A4360,A4600,FS,0,,,
R0056,A4110,A4600,FS,0,,net_redundant_logic,REDUNDANT: A4110 already reaches A4600 transitively via A4200 -> A4210 -> A4400 -> ... -> A4450. Never driving; a redundancy report should list it.
R0057,A4360,A4999,FS,0,,,
R0058,A4450,A4999,FS,0,,,
R0059,A4520,A4999,FS,0,,,
R0060,A4600,A4999,FS,0,,,
R0061,A4350,A5100,FS,0,,,
R0062,A2300,A5100,FS,80,,rel_fs;lag_exceeds_pred_duration,"Lag (80h) is DOUBLE the predecessor's original duration (40h). Legal, but a good test of lag arithmetic that is anchored on the predecessor's FINISH rather than its start."
R0063,A5100,A5110,SS,80,,rel_ss;lag_positive;lag_ss_positive,
R0064,A5100,A5120,FF,0,,rel_ff;lag_zero;lag_ff_zero,
R0065,A5100,A5130,FS,0,,,
