id,name,wbs,activity_type,calendar,original_duration_h,original_duration_days_display,remaining_duration_h,duration_type,percent_complete_type,status,actual_start,actual_finish,suspend_date,resume_date,duration_percent_complete,physical_percent_complete,units_percent_complete,primary_constraint_type,primary_constraint_date,secondary_constraint_type,secondary_constraint_date,expected_finish,external_early_start,external_late_finish,activity_codes,udfs,test_tags,note
A1000,Notice to Proceed,TT.1,START_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-05T08:00:00,2026-01-05T08:00:00,,,100,0,0,START_ON_OR_AFTER,2026-01-05T08:00:00,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD;SYS=N/A,,type_start_ms;con_snet;prog_complete,
A1010,Construction Management & Supervision,TT.1,LEVEL_OF_EFFORT,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-01-05T08:00:00,,,,18,0,0,,,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,type_loe;loe_spans_project,LOE: duration is DERIVED from its SS predecessor and FF successor. Must never drive logic and must never be critical.
A1020,QA/QC Surveillance,TT.1,LEVEL_OF_EFFORT,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-01-26T08:00:00,,,,15,0,0,,,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,type_loe,
A1030,HSE Management & Permit Control,TT.1,LEVEL_OF_EFFORT,CAL-02,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-01-05T07:00:00,,,,16,0,0,,,,,,,,DISC=HSE;CWA=SITE;PHASE=CONST;CONTR=WOOD,,type_loe;loe_different_calendar_to_span_ends,LOE on CAL-02 spanning activities on CAL-01/CAL-03 - tests LOE duration derivation across calendars.
A1040,Project Controls & Reporting,TT.1,LEVEL_OF_EFFORT,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-01-05T08:00:00,,,,18,0,0,,,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,type_loe,
W4000,CWA-100 Civils (WBS Summary),TT.4,WBS_SUMMARY,CAL-02,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100,,type_wbs_summary,Dates derived from earliest start / latest finish of all activities in WBS TT.4 and below. No relationships.
W5000,CWA-200 Steelwork (WBS Summary),TT.5,WBS_SUMMARY,CAL-02,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200,,type_wbs_summary,
W7000,CWA-400 Piping (WBS Summary),TT.7,WBS_SUMMARY,CAL-02,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=PIP;CWA=CWA-400,,type_wbs_summary,
A2000,Site Access Granted (Contract Milestone),TT.2,START_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-19T08:00:00,2026-01-19T08:00:00,,,100,0,0,START_ON,2026-01-19T08:00:00,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,con_start_on;type_start_ms,"START_ON pins BOTH early and late start. Engine must not allow the forward pass to move it later, nor the backward pass earlier."
A2100,IFC Civil Drawings Received,TT.2,FINISH_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-16T17:00:00,2026-01-16T17:00:00,,,100,0,0,,,,,,,,DISC=CIV;PHASE=ENG;CONTR=WOOD,,net_open_start;type_finish_ms,OPEN START: no predecessor. DCMA 14-point check should flag this.
A2110,IFC Structural Drawings Received,TT.2,FINISH_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-30T17:00:00,2026-01-30T17:00:00,,,100,0,0,,,,,,,,DISC=STL;PHASE=ENG,,type_finish_ms,
A2120,IFC Piping Isometrics Rev 0,TT.2,FINISH_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,2026-04-13T08:00:00,,DISC=PIP;PHASE=ENG,,net_external_early_start;interproject,External early start from the Engineering project. With 'Ignore relationships to/from other projects' = TRUE this must be dropped.
A2200,Absorber Column T-301 Delivered to Site,TT.2,FINISH_MILESTONE,CAL-03,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,2026-07-27T06:00:00,,DISC=MEC;PHASE=PROC;CONTR=VENDOR,TAG_NO=T-301,net_external_early_start;net_external_open_start,
A2210,Module PAU-301 Delivered to Site,TT.2,FINISH_MILESTONE,CAL-03,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,2026-07-20T06:00:00,,DISC=MEC;PHASE=PROC;CONTR=VENDOR,TAG_NO=PAU-301,net_external_early_start;net_external_open_start,
A2220,Amine Pumps P-301A/B Delivered,TT.2,FINISH_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,2026-06-15T08:00:00,,DISC=MEC;PHASE=PROC;CONTR=VENDOR,TAG_NO=P-301A/B,net_external_early_start;net_external_open_start,
A2230,HV Switchgear Delivered,TT.2,FINISH_MILESTONE,CAL-03,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,2026-08-10T06:00:00,,DISC=ELE;PHASE=PROC;CONTR=VENDOR,,net_external_early_start;net_external_open_start,
